Individualid	Familyid	Gender	Mother	Father
M100	MF344	M	.	.
M101	MF344	F	.	.
M102	MF344	M	.	.
M103	MF344	F	M101	M100
M104	MF344	M	M101	M100
M105	MF344	F	.	.
M106	MF344	M	M105	M104
M114	MF344	M	M105	M104
M116	MF344	M	M105	M104
M117	MF344	F	M105	M104
M115	MF344	F	.	.
M127	MF344	M	M115	M114
M128	MF344	F	.	.
M129	MF344	M	M128	M127
M130	MF344	.	M115	M114
M107	MF344	M	M103	M102
M108	MF344	F	.	.
M109	MF344	M	M103	M102
M110	MF344	F	M105	M104
M111	MF344	M	M103	M102
M112	MF344	F	M103	M102
M113	MF344	M	M103	M102
M121	MF344	M	M110	M109
M122	MF344	M	M110	M109
M123	MF344	F	M110	M109
M124	MF344	M	M110	M111
M125	MF344	M	M110	M111
M126	MF344	F	M110	M111
M118	MF344	F	M108	M107
M119	MF344	M	M118	M106
M120	MF344	F	M118	M106
