Individualid	Familyid	Gender	Mother	Father
m41	mf1	m	.	.
m42	mf1	f	.	.
m43	mf1	m	m42	m41
m44	mf1	f	.	.
m45	mf1	m	m44	m43
m46	mf1	f	.	.
m47	mf1	f	m76	m74
m48	mf1	m	m46	m45
m49	mf1	f	.	.
m50	mf1	m	m49	m48
m51	mf1	m	m46	m45
m52	mf1	m	m46	m45
m53	mf1	f	m46	m45
m54	mf1	m	.	.
m55	mf1	m	m53	m54
m56	mf1	f	m53	m54
m57	mf1	f	m47	m45
m58	mf1	m	m47	m45
m59	mf1	f	m47	m45
m60	mf1	m	m62	m61
m61	mf1	m	m44	m43
m62	mf1	f	m75	m74
m63	mf1	m	m62	m61
m64	mf1	f	m62	m61
m65	mf1	m	.	.
m66	mf1	m	m64	m65
m67	mf1	f	m62	m61
m68	mf1	f	m62	m61
m69	mf1	f	m44	m43
m70	mf1	m	m77	m74
m71	mf1	m	m69	m70
m72	mf1	f	m69	m70
m73	mf1	m	m69	m70
m74	mf1	m	m42	m41
m75	mf1	f	.	.
m76	mf1	f	.	.
m77	mf1	f	.	.
m78	mf1	m	m77	m74
m79	mf1	f	.	.
m80	mf1	f	m79	m78
m81	mf1	m	m79	m78
m82	mf1	m	m79	m78
m83	mf1	m	m79	m78
m84	mf1	f	m79	m78
m85	mf1	f	m79	m78
m86	mf1	m	m80	m73
m87	mf1	f	m80	m73
