Individualid	Familyid	Gender	DOB	Mother	Father
M101	MF344	M	1952-08-23	.	.
M102	MF344	F	1953-04-30	.	.
M103	MF344	M	.	M102	M101
M104	MF344	F	.	M102	M101
M105	MF344	M	.	.	.
M106	MF344	M	.	M104	M105
M107	MF344	M	.	M102	M101
M200	MF344	M	.	.	.
M201	MF344	F	.	.	.
M202	MF344	F	.	M201	M200
M203	MF344	F	.	M201	M200
M204	MF344	M	.	.	.
M205	MF344	F	.	M202	M107
M206	MF344	M	.	M202	M107
M207	MF344	F	.	M203	M204
M208	MF344	F	.	M203	M204
M211	MF344	F	.	M203	M204
M209	MF344	M	.	M208	M206
M210	MF344	M	.	M208	M206	
