Individualid	Familyid	Gender	Father	Mother
m100	mf2	m	.	.
m101	mf2	f	.	.
m102	mf2	m	m100	m101
m103	mf2	f	.	.
m104	mf2	f	.	.
m105	mf2	f	m102	m104
m106	mf2	f	m102	m104
m107	mf2	m	m102	m104
m108	mf2	f	m102	m103
m109	mf2	m	m100	m101
m110	mf2	f	.	.
m111	mf2	f	.	.
m112	mf2	f	m109	m111
m113	mf2	f	m109	m111
m114	mf2	m	m109	m110
m222	mf2	m	m109	m110
m223	mf2	f	m109	m110
m224	mf2	f	m109	m110
m123	mf2	f	.	.
m124	mf2	m	m109	m123
m125	mf2	f	.	.
m126	mf2	m	m109	m125
m127	mf2	.	m109	m125
m115	mf2	m	.	.
m116	mf2	f	m102	m115
m119	mf2	f	.	.
m120	mf2	f	m102	m119
m121	mf2	f	.	.
m122	mf2	m	m102	m121
