IndividualId	FamilyId	Gender	Mother	Father
m22	mf1	m	.	.
m23	mf1	f	.	.
m24	mf1	m	m23	m22
m25	mf1	f	.	.
m26	mf1	f	m23	m22
m27	mf1	m	.	.
m28	mf1	m	m25	m24
m29	mf1	f	m26	m27
m30	mf1	m	m29	m28
m31	mf1	f	.	.
m32	mf1	f	m29	m28
m33	mf1	m	.	.
m34	mf1	f	m31	m30
m35	mf1	m	.	.
m36	mf1	m	m31	m30
m37	mf1	f	m32	m33
m38	mf1	m	m34	m35
m39	mf1	f	.	.
m40	mf1	.	m39	m38
m41	mf1	m	m34	m35
m42	mf1	f	.	.
m43	mf1	.	m42	m41
m44	mf1	m	m34	m35
m45	mf1	f	m37	m36
m46	mf1	f	m45	m44
m47	mf1	f	m45	m44
m48	mf1	m	m45	m44
m49	mf1	m	m45	m44
m50	mf1	m	m45	m44
m51	mf1	f	m45	m44
m52	mf1	f	m45	m44
m53	mf1	m	m45	m44
m54	mf1	f	m45	m44
m55	mf1	m	m45	m44
m56	mf1	m	m45	m44
m57	mf1	f	m45	m44
m58	mf1	f	m45	m44
m59	mf1	m	m37	m36
m60	mf1	f	.	.
m61	mf1	.	m60	m59
m62	mf1	f	m37	m36
m63	mf1	m	.	.
m64	mf1	.	m62	m63
m65	mf1	f	m37	m36
m66	mf1	m	.	.
m67	mf1	.	m65	m66
m68	mf1	m	m37	m36
m69	mf1	f	m37	m36
m70	mf1	m	m37	m36
m71	mf1	m	m37	m36
