Individualid	Familyid	Gender	DOB	Mother	Father	MZtwin
M100	MF344	F	1956-02-15	.	.	.
M101	MF344	M	1952-08-23	.	.	.
M104	MF344	F	1983-04-30	M100	M101	.
M103	MF344	M	1961-03-16	.	.	.
M102	MF344	M	1979-04-26	M100	M101	.
M105	MF344	M	1964-09-23	.	.	.
M109	MF344	F	1965-11-01	M104	M105	.
M108	MF344	F	1975-01-01	M103	M102	.
M107	MF344	M	1975-11-01	.	.	.
M106	MF344	F	1971-12-11	M103	M102	.
M110	MF344	M	.	M104	M105	.
M111	MF344	F	.	.	.	.
M112	MF344	F	.	M104	M105	.
M113	MF344	M	.	.	.	.
M119	MF344	F	.	M112	M113	.
M114	MF344	F	.	M106	M107	.
M115	MF344	M	.	M106	M107	.
M116	MF344	F	2005	M111	M110	D
M117	MF344	F	2005	M111	M110	D
M118	MF344	M	.	M111	M110	.
