Individualid	Familyid	Gender	Mother	Father
m100	mf1	m	.	.
m101	mf1	f	.	.
m102	mf1	m	m101	m100
m104	mf1	m	m101	m100
m106	mf1	m	m101	m100
m103	mf1	f	.	.
m105	mf1	f	.	.
m107	mf1	f	.	.
m108	mf1	m	m103	m102
m109	mf1	m	m103	m102
m110	mf1	m	m103	m102
m111	mf1	m	m103	m102
m112	mf1	m	m103	m102
m113	mf1	f	m105	m104
m114	mf1	f	m113	m112
m115	mf1	m	m105	m104
m116	mf1	f	m105	m104
m117	mf1	m	m107	m106
m118	mf1	f	m116	m117
m119	mf1	m	m116	m117
m120	mf1	f	m107	m106
m121	mf1	m	m107	m106
m122	mf1	m	m120	m111
m123	mf1	f	m120	m111
m124	mf1	m	m120	m111
m125	mf1	f	m101	m100
