IndividualId	FamilyId	Gender	Mother	Father
m11	mf1	m	.	.
m12	mf1	f	.	.
m13	mf1	f	m12	m11
m14	mf1	f	m12	m11
m15	mf1	m	m12	m11
m16	mf1	m	.	.
m17	mf1	f	m13	m16
m18	mf1	.	m13	m16
m19	mf1	m	.	.
m20	mf1	m	m17	m19
m21	mf1	f	.	.
m33	mf1	m	m21	m20
m34	mf1	f	m21	m20
m35	mf1	f	m21	m20
m36	mf1	m	.	.
m37	mf1	f	m35	m36
m38	mf1	m	m21	m20
m22	mf1	m	m17	m19
m23	mf1	f	.	.
m39	mf1	m	m23	m22
m40	mf1	m	m23	m22
m41	mf1	m	m23	m22
m24	mf1	f	m17	m19
m25	mf1	m	.	.
m42	mf1	m	m24	m25
m43	mf1	f	.	.
m44	mf1	m	m43	m42
m45	mf1	m	m43	m42
m46	mf1	f	m24	m25
m26	mf1	m	m17	m19
m27	mf1	f	m17	m19
m28	mf1	m	.	.
m47	mf1	f	m27	m28
m48	mf1	m	m27	m28
m49	mf1	m	m27	m28
m50	mf1	m	m27	m28
m55	mf1	m	m27	m28
m56	mf1	m	m27	m28
m52	mf1	f	m51	m50
m53	mf1	m	m51	m50
m54	mf1	f	m51	m50
m29	mf1	m	m17	m19
m30	mf1	f	.	.
m31	mf1	f	.	.
m32	mf1	f	m17	m19
m57	mf1	m	m31	m29
m59	mf1	f	m58	m57
m60	mf1	m	m58	m57
m61	mf1	f	m58	m57
m62	mf1	f	m30	m29
m63	mf1	m	.	.
m64	mf1	m	m62	m63
m65	mf1	f	m30	m29
m66	mf1	m	.	.
m67	mf1	m	m65	m66
m68	mf1	m	m30	m29
m69	mf1	m	m30	m29
m70	mf1	m	m30	m29
m71	mf1	f	.	.
m72	mf1	m	m71	m70
