Individualid	Familyid	Gender	Father	Mother
M110	MF2	M	M200	M201
M101	MF2	F	.	.
M102	MF2	F	M110	M101
M103	MF2	M	.	.
M114	MF2	M	M103	M102
M106	MF2	F	M114	M207
M107	MF2	F	M114	M207
M108	MF2	M	M114	M207	
M109	MF2	M	M114	M207
M203	MF2	M	M114	M104
M204	MF2	M	M114	M104
M100	MF2	F	M200	M201
M111	MF2	M	.	.
M112	MF2	M	M111	M100
M113	MF2	F	.	.
M104	MF2	F	M111	M100
M115	MF2	M	M112	M113
M116	MF2	M	M112	M113
M117	MF2	M	M112	M113
M205	MF2	M	M200	M201
M206	MF2	F	.	.
M207	MF2	F	M205	M206
M208	MF2	M	M205	M206
M209	MF2	M	M205	M206
