Individualid	Familyid	Gender	Mother	Father
m100	cs_ms_002	m	.	.
m101	cs_ms_002	f	.	.
m108	cs_ms_002	m	m101	m100
m103	cs_ms_002	f	m101	m100
m105	cs_ms_002	m	.	.
m104	cs_ms_002	f	m101	m100
m107	cs_ms_002	f	m104	m105
m102	cs_ms_002	m	m104	m105
m110	cs_ms_002	f	m103	m102
m111	cs_ms_002	m	m103	m102
m112	cs_ms_002	f	m107	m108
m117	cs_ms_002	f	.	.
m118	cs_ms_002	m	m117	m108
m119	cs_ms_002	m	m117	m108
m120	cs_ms_002	f	m117	m108
m121	cs_ms_002	f	m117	m108
m122	cs_ms_002	f	.	.
!m123	cs_ms_002	.	m122	m108
