Individualid	Familyid	Gender	Father	Mother
m100	ms_002	m	.	.
m101	ms_002	f	.	.
m102	ms_002	m	m100	m101
m103	ms_002	f	.	.
m104	ms_002	f	.	.
m105	ms_002	f	m102	m104
m106	ms_002	f	m102	m104
m107	ms_002	m	m102	m104
m108	ms_002	f	m102	m103
m109	ms_002	m	m100	m101
m110	ms_002	f	.	.
m111	ms_002	f	.	.
m112	ms_002	f	m109	m111
m113	ms_002	f	m109	m111
m114	ms_002	m	m109	m110
m222	ms_002	m	m109	m110
m223	ms_002	f	m109	m110
m224	ms_002	f	m109	m110
m123	ms_002	f	.	.
m124	ms_002	m	m109	m123
m125	ms_002	f	.	.
m126	ms_002	m	m109	m125
m127	ms_002	.	m109	m125
m115	ms_002	m	.	.
m116	ms_002	f	m102	m115
m119	ms_002	f	.	.
m120	ms_002	f	m102	m119
m121	ms_002	f	.	.
m122	ms_002	m	m102	m121
