Individualid	Familyid	gender	father	mother
1	dt_003	f	.	.
2	dt_003	m	.	.
3	dt_003	f	2	1
4	dt_003	f	2	1
5	dt_003	f	2	1
6	dt_003	m	7	8
7	dt_003	m	.	.
8	dt_003	f	.	.
9	dt_003	f	7	8
10	dt_003	m	6	5
11	dt_003	f	6	5
12	dt_003	m	6	5
13	dt_003	f	.	.
14	dt_003	f	12	13
15	dt_003	f	12	13
16	dt_003	m	21	22
17	dt_003	f	23	15
18	dt_003	f	.	.
19	dt_003	m	.	.
20	dt_003	f	19	18
21	dt_003	m	19	18
22	dt_003	f	27	28
23	dt_003	m	21	22
24	dt_003	f	21	22
25	dt_003	f	27	28
26	dt_003	m	27	28
27	dt_003	m	.	.
28	dt_003	f	.	.
